[2025-06-29 16:16:16] [Device 1] Communication Enabled
[2025-07-26 16:36:29] [Device 2 CH1] V=0.000V I=0.000A
[2025-07-26 16:36:29] [Device 2 CH2] V=0.000V I=0.000A
[2025-07-26 16:36:29] [Device 2 CH3] V=0.000V I=0.000A
[2025-07-26 16:36:30] [Device 2 CH1] V=0.000V I=0.000A
[2025-07-26 16:36:30] [Device 2 CH2] V=0.000V I=0.000A
[2025-07-26 16:36:30] [Device 2 CH3] V=0.000V I=0.000A
[2025-07-26 16:36:31] [Device 2 CH1] V=0.000V I=0.000A
[2025-07-26 16:36:31] [Device 2 CH2] V=0.000V I=0.000A
[2025-07-26 16:36:31] [Device 2 CH3] V=0.000V I=0.000A
[2025-07-26 16:36:32] [Device 2 CH1] V=0.000V I=0.000A
[2025-07-26 16:36:32] [Device 2 CH2] V=0.000V I=0.000A
[2025-07-26 16:36:32] [Device 2 CH3] V=0.000V I=0.000A
[2025-07-26 16:36:33] [Device 2 CH1] V=0.000V I=0.000A
[2025-07-26 16:36:33] [Device 2 CH2] V=0.000V I=0.000A
[2025-07-26 16:36:33] [Device 2 CH3] V=0.000V I=0.000A
[2025-07-26 16:36:34] [Device 2 CH1] V=0.000V I=0.000A
[2025-07-26 16:36:34] [Device 2 CH2] V=0.000V I=0.000A
[2025-07-26 16:36:34] [Device 2 CH3] V=0.000V I=0.000A
[2025-07-26 16:36:35] [Device 2 CH1] V=0.000V I=0.000A
[2025-07-26 16:36:35] [Device 2 CH2] V=0.000V I=0.000A
[2025-07-26 16:36:35] [Device 2 CH3] V=0.000V I=0.000A
[2025-07-26 16:36:36] [Device 2 CH1] V=0.000V I=0.000A
[2025-07-26 16:36:36] [Device 2 CH2] V=0.000V I=0.000A
[2025-07-26 16:36:36] [Device 2 CH3] V=0.000V I=0.000A
[2025-07-26 16:36:36] [Device 1] Disconnected
[2025-07-26 16:36:36] [Device 2] Disconnected
